N1	See readers' New Year photos	How do you celebrate the evening?
N9642	More people choose unusual names	Dad Trond fell in love with Mom Susanne's special name proposal.
N9643	- I keep forgetting what "clear" means. Is it hungry, sick or tired?	New students struggle to understand Trøndersk.
N9644	Trønderrapperne smoked out of The Stream	Steinkjer rappers Kristoffer Skei (28) and Per Thomas "PT" Holtan (27) didn't quite measure up.
N9645	That's what we ha'kke in the city	The Centre Youth tempts new voters with a carrot.
N9646	- Cod liver oil has no effect	According to professor of medicine, Eiliv Lund, cod liver oil has no demonstrable health effect. Rather, he recommends cod liver.
N9647	More people want to become nurses in Nord-Trøndelag	The number of applicants for the Nursing Programme at Nord University increases by 20 per cent.
N9648	Here the earth's crust moves in the Middle Norway	Beneath our feet is an ancient network of moving earth cracks.
N9649	The car needs winter care	Whether we like it or not; It's heading towards winter. And as much as we need boots and winter coats, the car needs washing and preferably polishing, checking the battery and fresh oil to cope with the coming cold and salt splashes.
N9650	This is Norway's first electric race car	This goes from zero to a hundred kilometers per hour in less than three seconds.
N9651	Bringing people from Best to Better	Vingründeren Geir Sviland is creating a stir in the industry with his new import company Better Wines. After this week he has advertised for his first employees, it is clear that he is bringing in three of his old employees from the firm Best Buys, which he established ten years ago. Among the three is Jan Stubne (pictured) who will be deputy director to Sviland.
N9652	Christmas's Least Christmas Drama	Fresh, unpretentious and queer image on society's shadows the night before Christmas Eve.
N9653	Christmas on bottled feet	This year, the offer of "Christmas wine" is wider than ever. The quality is also good.
N9654	Here's how Grimsbø reacts to the award: "It was very surprising.	Kari Aalvik Grimsbø (31) learned that she has received the highest level of sports in Trøndelag on her way from her niece's handball training.
N9655	A group of friends from Trondheim had to flee the flood	The storm in Thailand has affected over 700,000 people since it started a week ago
N9656	Beautiful downtown 2-person house with good standard and large plot - BoligGuiden - adressa.no	Lerkendalveien 1 is originally an entire semi-detached house from 1953, which in recent years has been developed to become a modern semi-detached house that meets today's requirements for conveniences....
N9657	Ola Ødegaard has quit as loser general	Ola Ødegaard (72) has resigned as secretary general of the Foundation Justice for the Losers, which he founded in 1993.
N9658	Want city architect to rein in builders	"Today, real estate agents are paid more for selling an apartment than an architect is paid for shaping it," says Ørjan Nyheim, head of Trondhjems Arkitektforening.
N9659	Audun saves TV series	Celebrity taxi battered - now TVNorge gets a new car from Trondheim.
N9660	- I saw a man jump into the car	Malin, 16, is certain that a man jumped in and out of the car just before it started rolling.
N9661	Stylish in the attic	Åse Ørjasæter is in love with Bali. That's why she's brought some of the island home to her apartment.
N9662	Reitan into fish food	The Lundbakk family will receive a few million kroner, Rema 1000 a 35 percent stake in MaxMat AS. Ole Robert Reitan promises greater production and more jobs in Bodø.
N9663	Sequel to the Penis Atlas	Esben Esther Pirelli Benestad does not rule out that he too may make a book with female genitalia.
N9664	Masonic Lodge Closes Its Doors to Youth Parties	The management of Frimurerlogen in Trondheim was shocked when they read in Adresseavisen that the drug-free parties in their premises have been characterized by drunkenness and noise.
N9665	Hurtigruten is weatherproof in Trondheim	Fear of seasick passengers means that King Harald is left behind.
N9666	From this hotel room you can watch RBK win	From the hotel room in the country's second tallest hotel building you can see Rosenborg score goals. If you have rooms on the opposite side, you can follow along as the club trains.
N9667	The plane took a 360 to see the solar eclipse	"It was a fun feature of the trip," says passenger Roar Stette.
N9668	This Danish island is perfect for cycling holidays	The world's largest labyrinth, yellow cornfields, white sandy beaches and delicious local food. Yes, we love Denmark!
N9669	The star stallion is brought home immediately	The owners cannot guarantee that Juliano Rags is drug-free.
N9670	- Suddenly he hit the car door with his axe and wanted to be driven to the city center	The car owner said he ran to his wife after the axe attack and asked her to lock the door.
N9671	From jungle to new and practical garden	You decide who gets into your home, but you share your garden with everyone who passes by. Whether you want to or not.
N9672	Scientists do not know why this bird species disappears from the Trondheim Fjord	The dramatic decline in the eider population is a mystery.
N9673	Strong and good jazz tradition	Christmas jazz at Britannia Hotel is in the process of establishing itself as a strong and good tradition. Also last night, the event was very successful.
N9674	See readers' photos of Trondheim	Share your photos from the city!
N9675	The disability benefit must live in a container	In a soft swamp in the woods of Hemne where no one else wants to live, stands a blue steel container. This is the home of "Tony" (35) – a disabled substance abuser.
N9676	Here people made a real ski coup	It was a barracks when the sports clubs Strindheim and Freidig arranged a ski change day. "The threshold for buying used sports equipment is probably lower than before.
N9677	The elegance of the 60s makes itself felt at a party	It should look gorgeous. A bit of movie star style. The party fashion when you go out with work or at a friend's reunion says exclusive, retro direction of the simple kind.
N9678	Golden goes for gold in the Norwegian Snowmobile Championships in Tydal	- How hard can it really be? There will be gas from the first second.
N9679	Year-best in bullet	No one beats Fredrik Dehli Hegdahl (14) in the shot put and discus. On Saturday, he put pers in the bullet, again.
N9680	These are the bargains at Værnes	You can save hundreds of kroner per bottle if you choose the right wine when you travel to and from abroad from Værnes. We give you the list of bargains!
N9681	Here are the Adressa photographers' memories of this year's past	The range is huge. It goes from band music to the celebration of Ramadan in Trondheim, from autopsy of moose to school kitchen with queen visits. Adresseavisen's photographers have each picked out their own pictures from the past year.
N9682	Here's where VIF-Shampo fires Canadian star: - Your fucking idiot	Eric Chouinard responded with swear words. Then the Vålerenga coach had enough.
N9683	Fears invasion of raccoons in Norway	Naturvernforbundet fears that the North American predator raccoons will take Norway and do major damage to the ecosystem.
N9684	- The next time we need a passport, we book an appointment in advance	It is not until well into July that there are free hours. If you are going to drop-in, you have to stand in line for many hours.
N9685	Thursday the coldest August day ever in Trondheim	Thursday was the coldest August day ever in Trondheim. The temperature at the Trondheim-Voll monitoring station never showed more than 8.0 degrees at its hottest.
N9686	Ullmann and Knausgård to festival	Linn Ullmann and Linda Boström Knausgård are among the guests of the literature festival in Lillehammer.
N9687	Now this pub is resurrected in Bakklandet	"The soul must be retained," says Kristian Kolstad, who will be general manager when The Good Neighbor in Bakklandet opens its doors again.
N9688	Sold for more than one million over asking price	These three homes top the sales statistics for August.
N9689	Freezing cold Christmas bath	"It was colder this year than last year.
N9690	Doesn't have to deal with "guys of a hundred kilos plus": - They are left alone	All the injuries forced Niklas Unger Nilsen to change his style of play.
N9691	See how much this was sold for	Hefty bidding rounds about small farms.
N9692	100 will fish king snails	It is now boiling properly around the king snails on Frøya. After it was announced for fishermen, 100 fishermen from all over the Norwegian coast have expressed interest.
N9693	Rema quits as main sponsor of Rosenborg	Check who takes over after 15 years with Rema.
N9694	Road salting may be illegal	Road salting causes so much environmental damage that it contravenes the Pollution Control Act, according to the Norwegian Environment Agency. The Road Directorate disagrees.
N9695	Henrik drives drifting with the "batmobile"	At 120 km/h, Henrik Krogstad (19) pulls in the handbrake before the turn. In drifting, there should be as much smoke and skidding as possible.
N9696	Is this the worst iPhone of them all?	All iPhone models from worst to best. Vote for your favorite?
N9697	The whole family became electric car enthusiasts	The fear of running out of power scares many from acquiring an electric car. Per Magnar Skånøy was not intimidated. With three electric cars in the stable, the whole family has now become electric car enthusiasts.
N9698	See the pictures from the Super Cup	Real Madrid beat Sevilla at Lerkendal.
N9699	Expert on ancient wines	With one million bottles in a 600-year-old wine cellar in the middle of Beaune, Remoissenet has a firm foothold in history. But the future will be even brighter.
N9700	Missing man found dead under ice in Egersund	A man (51) who was reported missing on Thursday after he did not return home at the agreed time, was found dead under the ice at the northern end of Langevatnet in Egersund on Thursday afternoon.
N9701	Thorbjørn lost 26 kilos with the help of oatmeal	Now he is competing in the World Cup in oatmeal cooking.
N9702	Popular little brother	Ripasso is often the new wine for many wine lovers. We wanted to find Norway's best Ripasso purchase.
N9703	After the first shower, they felt the smell of mold	Anders Nygaard and Kristine Støvring won against the home seller in court.
N9704	Here they train their dogs	Two men were caught red-handed in Oppdal while training their dogs one month before the grouse hunt starts.
N9705	DNT: Nothing trendier than Norwegian mountains	Strong environmental and lifestyle trends have sent Norwegian mountains to new heights.
N9706	The shouts from the stands prompted Rosenborg to change the penalty shooter	Erlend Dahl Reitan (19) had a special evening at Lerkendal.
N9707	Herland's peculiar moral history	Hanne Nabintu Herland refers to history to substantiate her ideas that our civilization is founded on Christian values and morals. She describes counter-debaters as historyless, but does her knowledge of history stand up to believers?
N9708	"The case has been a nightmare.	Now the family receives almost NOK 600,000 from the insurance company.
N9709	Has driven out 150 tons of sand in one day	Bilberger thinks the bedding is miserable at Fosen. Mesta states that they are fully prepared.
N9710	A new Haltvik on the pitch	No sooner has mom Trine said thank you for good, than a new Haltvik appears on the parquet. 17-year-old Katinka Haltvik scored her first two top league goals for Byåsen as Bækkelaget was outclassed by 44-19 (20-11) in Nidarøhallen.
N9711	This is Trondheim's most expensive villa	Houses on Lade have been sold for over NOK 15 million.
N9712	Orkanger company secures major contract	The Orkanger company will deliver a total of 100 kilometres of oil and gas pipelines with anti-rust cover and insulation.
N9713	This is how the changes in the festival area this year will be	The rigging of the Pstereo Festival began on Monday morning. The untouched scene has been moved this year to an area with a new beer bar and purpose-built seating areas.
N9714	How to get a good start to your day in December	A child psychologist will advise you on a good start to the day in the dark. Hedda Vormeland has found the solution for her family.
N9715	Electrician near crushed by loose load	Had Johnny Myklegard (29) been driving this van (pictured right) when he head-on collided last year, he would not have survived. Fortunately, his car was newer with better safety equipment, and in the goods compartment the closet was on the opposite side.
N9716	Selling Volvo to Swedes	The biggest challenge for Wist Last & Buss in the year the company turns 75 is to recruit enough car mechanics.
N9717	Sandra Borch wants to go to the Storting	Sandra Borch (28) has been awarded first place on Troms Sp's list before next year's Storting election.
N9718	Man found injured in care home dead	An autopsy will be performed on Wednesday. Police still don't know how he got his injuries.
N9719	- Take it easy and drive according to the conditions	There is a lot of snow and very slippery in large parts of Trøndelag.
N9720	Man (57) found life-threateningly injured in apartment in Trondheim	Mann came to St. Olav with very serious head injuries. Police have started an investigation and are asking the public for tips.
N9721	Wheeling caught fire in Fossegrenda	No injuries, police said.
N9722	"We're going to be the best and then we have to train a lot.	It's summer vacation and football time. These boys want to be the best and spend their days on Åsheim artificial turf at Kattem.
N9723	Randi opens her private treasury	Randi Berg runs the store Mitt Skattekammer at Stavset. But after working hours, Buvika is gold.
N9724	At Lene's home in Stadsbygd	
N9725	Oslo's most expensive apartment sold for NOK 56 million	The penthouse at Tjuvholmen is the most expensive of the year.
N9726	Line Marie didn't stop until she got the apartment the way she wanted	- Since all the houses here are the same, it became extra important for me to get a unique interior, says Line Marie Skaget (26) and welcomes you into the townhouse in Buvika.
N9727	Here Joffa takes over the broadcast	Joffa came to life, broke into the broadcast and took over RBK magazine live from the cup final show.
N9728	Who laughs the loudest at the bank?	One presenter has a net worth of over Rs 16 crore.
N9729	- What do you mean by frivolous bulge?	Adressa.no visited the nominees in the nightlife categories.
N9730	Here Håvard lost the final	"She just bounced through the netting.
N9731	Christian will be marathon ready in less than four months	Christian was big in the jaw at work. As a result, he is now training hard to get into marathon shape until April.
N9732	Here is Norway's richest teenager	Salmar heir Gustav Magnar Witzøe (19) reigns supreme in Trøndelag.
N9733	Moved to Ingdalen to make noise	Bente and Tor Kvakland found out that they were not suitable to live in the city. They moved to Ingdalen to be able to hear and see the waves - and to be able to make noise without paying attention to neighbors.
N9734	Espen was sitting with his tax return. Then one of the world's greatest musicians called	The producer from Trondheim was sitting with his tax return when he suddenly saw that a familiar face called him on facetime.
N9735	The island with the hospital 1925 and 2016	From the area around Sverresli and Utsikten the view of Trondheim is the same, magnificent panorama.
N9736	Maldives on a budget	The Maldives has opened up to easier travel and lower holiday budgets.
N9737	Northug: - I drove the car	Petter Northug also confirms that he was under the influence of alcohol.
N9738	Inga had to evacuate	The morning began very dramatically for 29-year-old Inga Berntsen Rudi and her partner in Vollabakken 22.
N9739	Spidergawd sharpens claws	Spidergawd's project has never been clearer. The result has never been better.
N9740	Now AtB will have more ticket checks	From August, the bus company will step up its control activities sharply.
N9741	"Every day as poor is a hard blow in the face"	When the doping factory came to a standstill and customers failed, an accused 28-year-old had problems servicing the debt of a co-defendant (39).
N9742	Per Axel Koch new Chairman of AtB	AtB elects the chairman with broad experience, reports Sør-Trøndelag County Council.
N9743	Then and now: When Hornemannsgården was a police station	The line-up is not the same outside hornemannsgården today as it was just over a hundred years ago. At that time, the police were located in the yard, and the entire corps was tightly lined up for a parade for Police Chief Jelstrup.
N9744	Boy (13) killed in fall accident in Midtre Gauldal	Walked through barn floors and fell a meter and a half in Budal.
N9745	The kings of Norwegian grocery stores start e-commerce	With the Meny chain, Norway's largest grocery group is at the throat of kolonial.no and marked.no.
N9746	- Heavy and Tragic	Trønderbilene mourns after the loss of Lars-Andre Ertsås from Steinkjer.
N9747	Nesbø's bloody gospel	Nesbø is a dour and international suspense writer who takes care of the reader in all forensic details. But here he goes a little runaway in the means, especially the overt biblical references.
N9748	Then and now: Skansen	The sailboats dove in the moorings at Skansen today as in the 1930s, sheltered within the breakwaters that shield from the fjord.
N9749	A forewarned tragedy	Suspense film that stumbles in its own "fixing" scheme, unnecessarily confusing and never exciting, but with an ending that, after all, elevates it all somewhat.
N9750	Homemade Shelf: Make Your Own	Shelf with wheels and visible angles.
N9751	Life-loving culture prize winners	On Saturday evening, Julius Paltiel and Anne B. Ragde received Trondheim municipality's culture prize.
N9752	Do you understand what they're saying?	Check if you are able to place the dialects on the map. We challenge you!
N9753	Morrissey mentions Trondheim in new song	"Now Olavsfestdagene or Trøndersk record label must come on board," says author Frode Grytten.
N9754	More rogue actors	Norway's best-selling car is the used car. Most of them are serious, but we have also come across rogue actors.
N9755	Controversial motorcycle club gets grassroots money	Poltergeist MC has been paid NOK 15,000 from Norsk Tipping.
N9756	Here they hunt Christmas tree	She wants a big tree, he wants a slightly smaller one.
N9757	Ridiculed by the BBC	Just this week she took Märtha Louise to her defense, because she can talk to the dead herself. Now Gro-Helen Tørum has become a hit on youtube after being revealed by the BBC and comedian Stephen Fry.
N9758	Detached house in Ekne suffered major damage after fire	The house had been completely torched when firefighters arrived.
N9759	Red board resigns in protest against Byrkjeflot	The Rødt board in Trondheim wanted to exclude leader Arne Byrkjeflot after he began a relationship with a young, female union representative. The central party rejected this, and eight board members went to protest on Wednesday night.
N9760	Moose caught on football field	See video of the rescue operation at Hegra stadium.
N9761	Get up island for Island!	« Point of no return? Yes, we've heard that before. Politician intimidation", writes Klaus Joacim Sonstad in this opinion piece.
N9762	Aune's death to be investigated	The police will today launch an investigation after Reidun Aune died last night.
N9763	The website points out Carlsen's greatest weakness. Norwegian experts disagree.	"A bit like Petter Northug.
N9764	Several kilometres long queue towards Trondheim	Got stuck in the northbound direction.
N9765	Lyng's private jet is for sale	One of Trøndelag's two private jets will be sold.
N9766	Making a comeback in city politics	Rødt's ethics committee chastises the former board of Trondheim Rødt after the "Byrkjeflot case". Now Arne Byrkjeflot is back in politics.
N9767	Believes it is unworthy of the elderly in nursing homes	Two weeks a month, Roar Melum's 79-year-old father is on respite care. "Sad and unworthy is the family's experience of the nursing home stays.
N9768	Two 14-year-old boys borrowed a car and drove off the road	The car they were driving suffered extensive damage.
N9769	On the road to recovery for both burn victims	The condition of the two men who were critically injured in the fire at Øysand has improved.
N9770	Smoke development at Levanger Hospital	The emergency services are on their way after warnings of smoke development at the hospital in Levanger.
N9771	Seven good reasons to travel to Wales	Wales is geographically a bit in the backwaters, seen with both Norwegian and British eyes.
N9772	See the Russian's own pictures	Are you a Russ? Send us your photos!
N9773	All inclusive with mother	The Briz brothers are current with Oslo Fashion Awards. If they need to rest, they go to their parents' cabin in Frosta.
N9774	Two men arrested after investigation of catalogue company in Trondheim	Two men are presented for imprisonment on Tuesday, following the police investigation of the catalogue company Nummeropplysninga AS in Trondheim.
N9775	The Lost Glory of the Radical	People on the far left are not gracious when someone has crossed a line. Nor when it's one of their own. They're righteous like that.
N9776	Now the handball girls are being crushed on what has always been their foremost weapon	Norway should be the counterattack team before anyone. In the European Championships, this is not the case.
N9777	Enjoying the olympic days to the fullest	But things are still going hot at Stiklestad
N9778	Cycling with blood alcohol prohibited	Nice bike ride to the pub, but forbidden to ride from there after a few beers. As a cyclist, you are driving, and then the regulations are clear. Oh well, pretty clear.
N9779	Finanstilsynet will investigate this at the company	Finanstilsynet wants answers from the company that collected money for the catalogue company Nummeropplysninga AS in Trondheim.
N9780	Housing association leader accused of role mixing	Neighbours believe Terje Bye has a striking number of roles in the development project at Strindheim.
N9781	Norway's new rescue helicopter flies here	16 helicopters will replace the current Sea King fleet.
N9782	Collected money for imprisoned catalogue tops	The Trondheim company TT Inkasso sent out both invoices and debt collection claims on behalf of the catalogue company Nummeropplysninga AS. "We should have checked more thoroughly," says the general manager.
N9783	Odd Reitan is the richest Norwegian in Norway	Even though Odd Reitan is number two on the list of Norway's richest, he is still the richest Norwegian citizen on the list.
N9784	Man charged with rape released in Malm	The man in his 20s is charged with raping a woman in Malm over the weekend.
N9785	Solbakken confirms talks with NFF: "We are not at the finish line	Ståle Solbakken confirms that he has had conversations with Nils Johan Semb.
N9786	Here are the Norwegian sports achievements from 2016 that you never heard about	- It's fine that it doesn't get blown up.
N9787	Were girlfriends in hiding in the house	Natalia Davadi (24) knew that she was ex-bachelor Stig Kjos (31) chosen even before the final - the night before they had sex in the house where rival Anita Flakk (43) also lived.
N9788	Oppdalsbaker raised bread and coveted trophy	Emanuele Spreafico from Bakeriet Sprø in Oppdal was named "Baker of the Year 2016".
N9789	Sharing bed and stage	In Sel next summer, they will play Norwegian literature's fiercest love couple Kristin Lavransdatter and Erlend Nikulaussøn. But first of all, Evy Kasseth Røsten and Paul Ottar Haga go on a romantic trip to Argentina to recharge their batteries.
N9790	The dog died - veterinarian admits failure	Vet admits routine failure after dog Dennis died. Now the owner has been offered partial compensation - but he declines the offer.
N9791	Fractures in line at the hospital	Blank ice and slippery roads cause people with arm and leg fractures to flock to the emergency room. The record is 13 fractures in three hours at the orthopaedic injury outpatient clinic at St. Olav's Hospital.
N9792	The Commander	It's been a long time since a single player has had such a responsibility at TIK. But Duane Harmer is prepared to be the commander, leading his troops into the fight for survival.
N9793	These diseases the child will go through this winter	Here are good tips and advice for getting through the disease relay this winter.
N9794	The Beacon of Hell	For six months, the two SINTEF leaders, Roar Arntzen and Paul Hellandsvik, had shared dormitories, beer, and Mr. Lee's noodles. And discussed the answer to the Norwegian health care system. One late evening lesson, Hellandsvik asks: Isn't the director's job at St. Olav's perfect for you, Roar?
N9795	How to check if the wood is dry enough	Svein Arild Borgen from Klæbu shows you how to check if the wood is dry enough.
N9796	Konglebit on the move	The pine cone is a bird many probably don't know.
N9797	Life at St. Olav's Hospital	See readers' own photos documenting what goes on behind closed hospital doors.
N9798	- Muslims are an environmental pollutant	Hans Rotmo with new outcome against Muslim immigrants.
N9799	Civil Aviation Authority: Airport attacks can happen in Norway	Shootings such as the incident in Florida on Friday could also happen in Norway, according to the Civil Aviation Authority.
N9800	See the historical photos from martnan	Rørosmartnan celebrates its 160th anniversary.
N9801	Come with us to the South in six minutes	"With this view, you never get tired of the job," says the flight captain who filmed the trip.
N9802	Car ended up on the roof in Melhus	The driver is suspected of being intoxicated when the car he was driving ended up on the roof of Horg Church on Saturday morning.
N9803	Asbøll loses in court	Norway's best-known patient injury lawyer, Edmund Asbøll, rarely wins in court.
N9804	-Will there be more queues at NAV and less time for me when we get more refugees?	Trondheim municipality's professionals answered many questions and several specific ideas for the topic of refugee resettlement.
N9805	"It came as a shock.	David (25) got his dream phone call from Norsk Tipping.
N9806	"People are going to understand that I'm not a child anymore.	Celine Solemsløkk Helgemo has had great success as a host in Disney Channel's series "The Scoop" and with the Norwegian title song for the series "Violetta". She will soon turn 20, and she would like to move on from Disney to begin new projects.
N9807	Trønderske students become part of new research project	The Centre for Economic Research in Trondheim will receive NOK 20 million to research how upper secondary school dropout rates can be avoided.
N9808	No antidote to ecstasy	If you have taken an overdose of ecstasy, there is no antidote. The only thing doctors can do is treat the symptoms that occur.
N9809	Mexx stores continue after wholesale company bankruptcy	The stores in Trondheim have bought the inventory.
N9810	Let knowledge "rule" the center	The university management should first as last acknowledge that Trondheim's attractiveness lies in the city that meets the water, not the city's outskirts that meet Sluppenkrysset.
N9811	Ole Einar thought exercise was pointless - this is how he got hooked on the treadmill	Ole Einar Andersen (67) has never understood the point of training. Now he likes to run 50 minutes on a treadmill and has become 20 kilos lighter.
N9812	Here Emil (9) is beaten to blood	"Good training," mom says.
N9813	- There was free flow of drugs throughout last year	Not since 2001 have there been more overdoses in Trondheim than there were last year. The head of the overdose team believes free access to drugs and lack of knowledge are the reasons.
N9814	Marius ended up in the ditch twice when he rode his bike to work	"The road salt makes a slush soup that cannot be reached," says Marius André Nilsen, who slipped into the ditch in Bjørndalen twice.
N9815	This symbol of love must be removed	Trondheim City Operations removes the padlocks at Gamle Bybro.
N9816	Climbed into a crane at Lademoen	Emergency services are responding.
N9817	Ola By Rise becomes new municipal director	Former RBK player and coach, Ola By Rise, will lead the work with Trondheim municipality's sports and cultural life.
N9818	Out of contract for three months	Every league match, they work six-hour shifts to serve the VIPs at Lerkendal. But the young RBK waiters have no employment contract, they do not know what they earn per hour, and they have no idea when the pay will come. Also read: Blaming waiters Butcher's explanation
N9819	Sigurd (13) adores Sabertooth	Captain Sabertooth is life for the Trondheim boy Sigurd Kjeldstad Skjetne (13).
N9820	Norwegianog lashes out at radiolabelling of wolves	Radio tagging of wolves solves no problems and appears to be an attempt to find a solution without implementing the Storting's decision," says Norskog Director Arne Rørå.
N9821	"Leifen's" good name and reputation	Leif Ivar Kristiansen (51) does not understand why people are so afraid of him. In court, he portrays himself as a chivalrous gentleman with high morals.
N9822	Spacious villa property with 2 apartments and dormitory. Great opportunities. Flat, sunny and nice plot surrounded by hedges. Close to kindergartens, schools, Festningsparken and NTNU Gløshaugen. - BoligGuiden - adressa.no	Large and characteristic villa property in a family friendly area. The semi-detached house has two apartments with dormitory on the 1st floor. The home runs 2 floors above basement with large lint...
N9823	I want to work as a nurse, but I'm afraid I won't survive.	Nursing student Maren Hansen believes it is unworthy of the way the elderly are treated in nursing homes.
N9824	14 out of 15 of the dance students at Katta got top marks on the exam	But before they take summer vacation, the graduates will dance for the royal couple.
N9825	Printed hundreds of thousands of pills in the garage	The police revealed Norway's most extensive doping factory. See the photos from the fitting.
N9826	Levie (12) saved for long hair to give other children wig of their hair	Levie Solberg (12) secretly saved for long hair, only to cut it so that another child could get a wig from her hair.
N9827	Six Tips for Succeeding with New Year's Resolutions	It's not enough to say to yourself that "this year I'm going to eat healthier and start exercising".
N9828	Bankrupting itself	Stargate says thank you and revel to the Media House at Rosten.
N9829	Wilderness girl roundly stolen on tour	"I haven't dared to sleep outside alone since it happened," the 18-year-old said.
N9830	Do you have 15 minutes to spare? How about a small marriage?	Lademoen Church in Trondheim is now arranging drive-in marriage.
N9831	Norway played on in the European Championships: "This is propaganda handball"	The handball girls ready for the intermediate stage of the European Championships.
N9832	"This was a dream for us for a long time.	Nidaros Nixies finished 2nd at the European Cheerleading Championships last weekend.
N9833	1881 broke with accused leaders in The Number Information	The number service 1881 is allowed to arrest the money the police seized from the catalogue tops Jonas Voldhagen Myrvold and Amir Spjøtvold Mian. The two were previously affiliated with the service.
N9834	- We will be better equipped	The police will practice far more with guns. In the Home Guard camp in Leksdalen, the police now receive advanced weapons training in buildings.
N9835	The Komi Prize dies so slowly that NRK thinks it is alive	The local revues are alive and well. But overlooked by the comedy price.
N9836	The everyday dress - a party winner	The knitting dress, denim dress, wool dress or shirt dress. The simple dress you wear to work is the optimal multipurpose garment, according to fashion experts.
N9837	Trondheim Metal Fest is bankrupt.	Trondheim Metal Fest is bankrupt.
N9838	Fewer come to a NAV office, and more are satisfied	This is what users think about NAV in Sør-Trøndelag.
N9839	City Syd is now opening its "new" floor	Biggest redevelopment at the mall since the year 2000 and more new stores are coming.
N9840	Grethe fears this is her cat	Grethe Solemsløkk fears the cats found in garbage containers in Stjørdal are hers.
N9841	Margaret to the dance floor	- No no, it was too cute. And a little too challenging. I want it to be dancing and not too lined! Margaret Berger looks through the photos for what will be her next album cover.
N9842	This is what the female body looks like after giving birth	"The response from new mothers who wanted to be part of the photo series has been enormous," says the photographer behind the project "The female body in the fourth trimester".
N9843	Taking up sick leave in the Presidency	Municipal Councillor Sissel Trønsdal (Labour) in Trondheim wants to know what the councillor has done to follow up previous decisions.
N9844	Student networks are hardly used	Trondheim municipality invested NOK 28 million to get schools online. Only 15 percent of students use it.
N9845	Now this building in Elgeseter gate will be removed	Being replaced by housing and workplaces.
N9846	- Arrogant response from the Minister	500 older immigrants are deprived of their minimum pension. Now Minister Anniken Hauglie (H) has answered Trondheim municipality's critical questions about this.
N9847	Sherlock at 93	- A great guy and an incredible actor. He's Gandalf!. Ian McKellan's little co-star in a new Sherlock Holmes film charmed Berlin.
N9848	"Serpent woman" imposed a fine of 10,000	The woman who kept 12 vipers in a glass cage in the apartment has approved a fine of NOK 10,000.
N9849	Here sprints the O2 bride	Therese Høyer Grimstad received an O2 test at the bachelor party. And proved that she will be one of the fittest brides in the country.
N9850	Soon the city bikes will roll again	The number of people using city bikes has increased every year.
N9851	- Saving money by picking in people from the street is not a good strategy	"Saving money by picking people in from the street is not a good strategy. It is not an innate skill to work with autistics.
N9852	Drove the spirits out of the house	Pål Kirknes has seen a pepper bush dancing on the kitchen table - and a broom that stirred in the basement. But now he's finally rid of evil spirits or energies in the house.
N9853	He has brewed the country's best beer	Trønderen Erik Morland (31) won the Norwegian Championship in Beer and Food for home brewers.
N9854	Lotte notified the fire	A fire in the stairwell was notified early, thanks to the postman. An apartment building at Moholt was evacuated.
N9855	Here is the explanation behind Karjakin's stuttering	The World Cup challenger is hailed as a role model by the Norwegian interest group.
N9856	Want politicians to get sweaty	Mayor Jorid Jagtøyen challenges female politicians with the mayors in the lead to run The Girl Wave in Trondheim.
N9857	Harsh winter for the cat owl	It has been a tough winter for the cat owl, but here Einar Fredrik Berg from Heimdal has photographed an owl in one of the boxes that he has set up in Bymarka.
N9858	See the unique war photos	Here is Tore Eggan's unique collection of German soldiers photos from Norway during the Second World War.
N9859	Favorable to rent housing	The buying rush in the housing market is leading to price pressures in the rental market.
N9860	Here the students are stuck in the middle of the River Nidelva	"It was nerve-wracking when the weather started rumbling over us," says Pirum manager Markus Olof Molander.
N9861	Camille brought a tent to expensive Trondheim	The Trondheim holiday doesn't have to cost your shirt.
N9862	- I Got Angry	Postman Lotte Westrum from Trondheim was threatened with death when she refused to unlock the car.
N9863	- Reaction to American soldiers at Værnes	Allan Widman, chairman of the Swedish Defense Committee, believes American soldiers at Værnes have led to a reaction from the Russians.
N9864	Sik ended the drive with downed routes	- Be sure to have a clear view when driving, urge the police.
N9865	Here the floating dock breaks	"I've never experienced anything like this. I was out filming, but I just had to get away because I was hit by the waves.
N9866	Now ex-drug addict Ronny has become a stand-up comedian	Ronny Torsteinsen (24) stopped taking drugs the day he learned that he was going to be a father. But what was he going to do instead?
N9867	Who drinks what?	The stereotypes are correct. Russians like their vodka, the Germans love their beer, while the French and Italians prefer to sip wine.
N9868	Name baptism with copy pencil	It was the old cooperative officer with the copy pencil behind his ear who was brought out when Trondos was about to name the new shopping center at Lade. Then it had to go as it went. It became City Lade.
N9869	- I am a fantastic product	Imre Halvorsen has posted an ad of himself on Facebook, hoping to find love.
N9870	Coming to The City Scene	Ian Hunter returns to town.
N9871	Appealing and large detached house with central location, nice views and good sun conditions - BoligGuiden - adressa.no	Appealing detached house with many lovely qualities. Central, but quiet location, close to Bymarka. The home is large and has the potential for further exploitation in the original...
N9872	Mental Trainer: Why You Fail at Your New Year's Resolution	Have you already given up on your New Year's resolution? Well, you're not alone.
N9873	What you don't see very often anymore	Trondheim was vandalism-worst, now the bus shelters are left alone.
N9874	Friday opens the country's first beer pole	At Vinmonopolet's premises in Søndre gate, you will be able to choose between 400 varieties of beer on Friday.
N9875	- As greatest hits at the nachspiel	At Trondheim Play, Svein Bjørge promises the largest collection of artists from Trøndelag ever.
