	user	Histories	Behaviors
1095	U1095	J1458 J2175 J1439 J6977 J916 J2705	J8-1 J7276-0 J632-0 J3324-0 J5457-0 J1068-0 J697-0 J7295-0 J4319-0 J2952-0 J6479-1 J2938-0 J2718-0 J3759-0 J7753-1 J3051-0 J4742-0 J733-0 J4178-0 J7522-1
1096	U1096	J4916 J2250 J603 J2302 J102 J6201 J2369 J5533 J3935 J4026 J224	J7348-0 J2692-1 J6970-0 J1365-0 J1033-0 J6329-0 J7680-0 J209-0 J2136-1 J1209-0 J5939-1 J3183-1 J5350-0 J6578-0 J7811-0 J8232-1 J482-0 J4223-0 J680-0 J7378-0
1097	U1097	J2635 J7246 J6353 J2818 J7801 J6120	J3813-0 J5849-0 J5512-0 J3149-0 J7974-0 J3388-0 J7374-0 J314-0 J1246-0 J7121-1 J1708-0 J985-1 J3308-0 J6097-0 J6374-0 J2783-0 J7805-0 J3456-0 J2700-1 J273-0
1098	U1098	J3453 J4054 J4392 J4053	J3425-0 J6346-0 J439-0 J1482-0 J3361-0 J1565-0 J6509-0 J407-0 J5675-0 J5366-0 J7986-0 J1891-0 J6019-0 J3648-0 J389-0 J2142-0 J3599-0 J4937-0 J4045-0 J5885-0
1099	U1099	J863 J3378 J3785	J5744-0 J3103-1 J2448-0 J6359-0 J7049-0 J2781-0 J514-0 J6941-0 J2325-1 J3979-0 J4651-0 J7969-0 J7853-1 J4375-0 J7865-0 J7138-0 J2023-0 J5218-0 J5881-0 J4215-0
1100	U1100	J7410 J6107 J4597 J4603 J6482 J7145 J3553	J3469-0 J6475-0 J4841-0 J672-0 J3903-0 J4370-0 J6444-0 J6722-0 J870-0 J4285-0 J8180-0 J7033-0 J5953-0 J7754-0 J1964-1 J2191-0 J3929-1 J5133-0 J1527-1 J5430-0
1101	U1101	J3360 J4484 J5309 J3818	J6539-1 J8047-0 J4769-0 J1671-1 J7523-1 J1612-1 J17-0 J7770-0 J3945-0 J4528-0 J3681-0 J6736-0 J5040-0 J4181-1 J5853-0 J1807-0 J1362-0 J5560-0 J659-1 J3922-0
1102	U1102	J6616 J3821 J6954 J62 J1729 J4885 J7624	J3772-0 J3966-1 J3389-0 J2180-0 J3678-0 J3037-0 J4823-0 J3197-0 J1082-0 J7064-1 J4083-0 J1109-0 J2631-0 J5139-1 J5880-1 J7847-1 J7537-0 J1720-1 J910-0 J1764-0
1103	U1103	J19 J1719 J2480	J2121-0 J2392-1 J3166-1 J2370-1 J4816-0 J8148-0 J8049-0 J5677-0 J3924-0 J6943-1 J6612-1 J5604-0 J1703-0 J5620-1 J3792-0 J4823-1 J1385-1 J3355-0 J7558-1 J839-0
1105	U1105	J6088 J1302 J663 J4336	J2818-1 J36-0 J2833-0 J6545-0 J5211-0 J3768-0 J5538-0 J6220-0 J1023-1 J5187-0 J3841-0 J1216-0 J7800-0 J5246-0 J609-0 J2284-0 J6194-0 J4135-0 J1938-0 J250-0
1106	U1106	J1353 J6809 J1807	J7163-0 J2441-0 J5912-0 J7378-0 J1646-0 J5898-0 J1159-0 J3508-0 J1071-0 J4857-0 J5515-0 J2167-0 J5249-0 J185-0 J3441-0 J5616-0 J3836-0 J2148-0 J207-0 J7761-0
1107	U1107	J6375 J7036 J8105 J3870 J5865 J6978 J7530	J7646-0 J1752-0 J5618-1 J4089-0 J1884-0 J7825-0 J2855-0 J5948-0 J5748-0 J6965-0 J7075-0 J3075-0 J2792-0 J6860-0 J1121-0 J930-0 J3077-0 J61-0 J7110-0 J7693-0
1108	U1108	J3686 J1311 J730 J1438 J8259 J6674 J3776 J4054 J336 J7442 J7843	J4226-0 J1755-0 J5445-0 J3784-0 J608-0 J1689-0 J4410-1 J6891-0 J6610-0 J6883-0 J6103-0 J3658-0 J2168-1 J4260-0 J2749-1 J5848-0 J3326-0 J3250-0 J7625-0 J7807-0
1109	U1109	J2013 J7973 J3453	J6380-0 J3575-1 J7801-0 J2968-0 J1497-0 J619-0 J7498-0 J1716-0 J1676-0 J6338-0 J3377-0 J5328-0 J2102-1 J2729-0 J5281-0 J6585-1 J7572-1 J7448-0 J478-0 J2847-0
1110	U1110	J575 J2069 J6967 J1320	J3459-0 J647-0 J5382-0 J235-0 J1256-0 J3063-0 J6934-0 J621-0 J6070-0 J1994-0 J6441-0 J5823-0 J3815-0 J6443-0 J7913-0 J242-0 J132-0 J2550-0 J3-0 J7834-0
1111	U1111	J4047 J3255 J592 J2989	J8217-0 J6300-0 J3610-0 J1836-0 J8034-1 J6165-0 J2694-1 J3527-0 J2119-0 J2493-0 J5998-0 J2678-0 J1334-1 J2308-0 J4009-0 J1726-0 J5162-0 J3061-0 J1192-0 J7777-0
1112	U1112	J7528 J6376 J3920 J7424 J4148 J2624 J2480 J6201 J3553 J5080 J6461	J176-1 J473-0 J470-0 J4895-1 J1764-0 J2769-1 J2124-0 J4805-0 J2932-0 J913-0 J2259-1 J5087-0 J7905-0 J7720-1 J1151-0 J7973-1 J3796-0 J2512-0 J2272-0 J8149-0
1113	U1113	J6674 J1163 J7550 J5659 J112 J7756	J4842-0 J6515-1 J4879-0 J6288-1 J3894-0 J6536-0 J6279-0 J1875-0 J3627-0 J8102-0 J762-1 J4537-0 J6532-0 J536-1 J5799-0 J377-1 J316-0 J1717-0 J6731-0 J6082-0
1114	U1114	J3066 J1011 J8051 J2954	J6021-0 J5874-0 J664-0 J4330-0 J6012-0 J4742-0 J7973-0 J1792-0 J3606-0 J6948-0 J5135-1 J4252-0 J1060-1 J261-1 J157-1 J1651-1 J3179-0 J2451-0 J4726-0 J5613-1
1115	U1115	J5665 J6200 J4150 J640	J1433-0 J7018-0 J5395-1 J6103-0 J7782-0 J4014-0 J3581-1 J2083-0 J5367-0 J5987-0 J3796-0 J6717-0 J5691-0 J6441-0 J802-0 J8095-0 J5468-1 J2787-0 J2563-1 J3757-0
1117	U1117	J28 J7947 J7360 J3208	J2403-0 J1676-0 J7613-0 J1610-0 J2678-0 J3481-1 J4404-0 J2840-0 J445-0 J7432-0 J4210-0 J2776-0 J2428-0 J3195-0 J3188-0 J5591-0 J6999-0 J103-0 J6175-0 J1455-0
1118	U1118	J4861 J7064 J7811 J3105	J643-0 J173-1 J7958-0 J7698-0 J7541-0 J2947-0 J7070-1 J7050-0 J1671-1 J2491-1 J3638-0 J5864-0 J5538-0 J2750-0 J4021-0 J2470-0 J3486-0 J5714-0 J453-0 J698-1
1119	U1119	J1649 J1670 J4475 J3847	J4579-0 J6950-0 J6900-0 J33-0 J7744-0 J6903-0 J5676-0 J8052-0 J6422-1 J5566-0 J5783-0 J5244-0 J7690-0 J7695-0 J3943-0 J7337-0 J8194-0 J2634-1 J1586-0 J5828-0
1120	U1120	J6674 J7840 J2718 J2711 J2453	J6852-0 J3708-0 J4916-0 J2183-0 J1382-0 J2799-0 J6982-0 J7549-0 J6644-0 J381-0 J1015-0 J2867-0 J3556-0 J6275-0 J3433-0 J2411-0 J7986-0 J2312-0 J5189-0 J3312-0
1121	U1121	J3244 J4994 J1352	J1141-0 J1936-0 J2082-0 J753-0 J4039-0 J3307-0 J6715-0 J8059-0 J6888-0 J6500-0 J7589-0 J4265-0 J1024-0 J3497-0 J416-0 J1953-0 J8080-0 J3308-0 J2644-0 J5013-0
1122	U1122	J7883 J3840 J603	J2207-0 J6894-0 J4521-0 J4476-0 J2176-0 J2444-0 J3385-0 J7826-0 J3611-0 J1857-0 J7200-0 J2180-0 J2663-0 J7034-0 J6410-0 J3755-0 J1679-0 J2386-0 J6021-0 J2178-0
1123	U1123	J5352 J7914 J2528 J7764 J2517 J261 J2075 J1602	J5058-0 J450-0 J6364-1 J3605-1 J3193-0 J8169-1 J7399-0 J585-0 J3620-0 J3321-1 J2378-1 J7284-0 J77-1 J7878-1 J6661-1 J4745-0 J3838-0 J7361-0 J5935-0 J240-0
1124	U1124	J1694 J2422 J5096 J6052 J2696 J237	J7637-0 J3391-0 J5332-0 J288-0 J1968-0 J8207-0 J4896-0 J4085-0 J7980-0 J7119-0 J39-0 J2598-0 J6873-0 J5809-0 J906-1 J8031-0 J1739-0 J5220-0 J6354-0 J7352-0
1125	U1125	J2374 J4366 J2716 J886 J1643	J4929-0 J5082-0 J6777-0 J4002-1 J1759-0 J14-0 J6671-0 J5484-0 J4399-1 J4748-0 J1199-1 J2944-0 J6013-1 J7550-1 J3068-0 J1348-0 J1878-0 J7279-0 J4924-0 J4874-0
1126	U1126	J1324 J782 J4890 J3255	J1539-0 J748-0 J6387-0 J1029-0 J3728-0 J3323-0 J2530-0 J5982-0 J7017-0 J1423-0 J322-0 J3990-0 J6902-0 J7624-0 J5789-0 J6722-0 J2195-0 J1121-0 J909-0 J5331-0
1127	U1127	J2695 J6891 J5241 J3551 J3589 J7183	J992-0 J2921-0 J39-1 J4623-1 J7408-1 J618-0 J8232-1 J5042-0 J6652-0 J605-0 J1038-0 J7862-0 J1076-0 J5705-0 J6769-0 J5410-0 J1132-0 J4739-1 J2036-0 J5626-0
1128	U1128	J5468 J2905 J209	J1782-0 J4074-0 J7252-0 J721-0 J4443-0 J743-0 J1361-1 J8146-0 J864-0 J1179-0 J4843-0 J768-0 J3675-0 J1596-0 J8123-0 J3656-0 J2381-0 J3915-0 J2097-0 J7820-0
1129	U1129	J243 J1712 J2720	J1416-0 J2973-0 J5042-0 J5003-0 J1783-0 J3488-0 J6231-0 J360-0 J5645-0 J3968-0 J1981-0 J3276-0 J2206-0 J69-0 J2570-0 J342-0 J2692-0 J1223-0 J3153-0 J1065-0
1130	U1130	J78 J2971 J3249 J2760	J2899-0 J2795-0 J7651-0 J1460-0 J6099-1 J7902-0 J1030-1 J1319-0 J7908-0 J5780-0 J4337-0 J2387-0 J598-1 J4540-0 J5826-0 J2808-1 J6472-0 J7864-0 J488-0 J3333-0
1131	U1131	J1516 J1415 J5829 J7203 J1612 J2287 J4095 J1352 J2569 J5348 J4256 J4168 J5737 J3244 J4890 J4042 J4392 J3847 J847	J514-0 J4230-0 J5910-0 J6778-0 J5710-0 J3307-0 J7047-0 J4375-0 J629-0 J351-0 J7405-0 J5250-0 J4833-0 J1783-0 J453-0 J7307-0 J1267-0 J6460-0 J373-0 J1348-0
1132	U1132	J2087 J5243 J2396 J6607	J5713-0 J7698-0 J355-0 J3326-0 J537-0 J5755-0 J7104-1 J4628-0 J2363-0 J7533-0 J3839-1 J6922-0 J762-0 J3089-0 J5782-0 J3989-0 J1133-0 J7505-0 J775-0 J5494-0
1133	U1133	J7529 J22 J3499	J6041-1 J1605-1 J7205-0 J3103-1 J7870-1 J6588-1 J4932-0 J4234-0 J7179-0 J4449-0 J3883-1 J3876-1 J1478-0 J4343-1 J5201-0 J7713-0 J17-0 J7379-0 J8029-0 J7428-0
1134	U1134	J2741 J5915 J7274 J4208 J5243	J571-0 J1480-0 J7613-0 J5601-0 J6289-0 J3181-0 J8003-0 J6621-0 J1845-0 J5161-0 J72-0 J462-0 J1749-0 J2718-0 J3935-0 J5513-0 J2533-0 J1666-0 J1308-0 J1643-0
1135	U1135	J6541 J1488 J2858 J1350 J4554 J5686 J2104 J6361 J6201	J495-0 J7857-0 J3306-0 J8150-0 J927-0 J222-0 J4348-0 J737-0 J3374-0 J6765-0 J5351-0 J4712-0 J3453-1 J809-0 J5930-0 J3241-0 J175-0 J761-0 J6832-0 J5410-0
1136	U1136	J1126 J3962 J77 J1458 J6964 J2084 J3564 J1081 J1763	J7968-1 J1104-0 J7488-0 J6799-0 J7637-0 J7114-0 J6060-0 J4216-0 J2303-0 J7594-0 J8257-0 J81-0 J5866-0 J5323-0 J323-0 J1830-0 J3142-0 J3259-0 J6191-0 J6168-0
1137	U1137	J6323 J6830 J3777 J4934 J7363	J3166-0 J3264-0 J4640-0 J4461-0 J4757-0 J2772-0 J1775-0 J655-0 J7787-0 J6732-0 J3640-0 J2063-0 J5172-0 J1062-1 J3991-0 J3366-0 J2322-0 J2448-0 J7670-0 J2586-0
1138	U1138	J2848 J3962 J7214 J763 J7186 J7064 J6151	J6539-0 J2295-0 J8061-1 J3709-0 J669-0 J117-0 J1848-0 J745-1 J8039-0 J4425-0 J714-0 J1918-1 J2211-1 J4127-0 J3526-0 J4577-0 J4576-0 J6495-0 J487-0 J6138-0
1139	U1139	J4208 J7446 J10	J7261-0 J7082-0 J6876-1 J4859-0 J5501-0 J6181-0 J7672-0 J42-0 J2192-0 J6370-0 J1814-0 J4059-0 J4953-0 J3177-0 J2552-0 J3162-0 J4874-1 J2412-0 J5798-0 J5570-0
1140	U1140	J1361 J4318 J3356 J4312	J8163-1 J1692-0 J5472-1 J7995-0 J7808-0 J6049-0 J821-0 J585-0 J5176-1 J3112-1 J3214-0 J7460-0 J560-0 J703-0 J2323-0 J7177-1 J335-0 J6690-0 J6722-0 J2709-1
1141	U1141	J272 J5666 J1907 J8136 J7121 J3201	J3765-1 J2199-0 J5518-0 J229-1 J5281-0 J7564-0 J2823-0 J3632-1 J3016-0 J7831-0 J5404-0 J960-0 J5192-1 J6013-0 J1842-0 J3383-0 J44-0 J5096-1 J5273-0 J1059-1
1142	U1142	J5276 J7220 J1625 J5979 J2775 J5107	J3314-0 J4910-0 J3296-0 J589-0 J3790-0 J1869-0 J3199-0 J3157-1 J4285-0 J829-0 J2555-0 J932-0 J3184-0 J1710-0 J3856-0 J7540-0 J421-0 J8051-1 J2521-0 J2829-0
1144	U1144	J2749 J3378 J2716 J1020 J6149	J650-0 J1025-0 J6537-0 J4913-0 J4876-0 J2884-0 J4474-0 J2502-0 J3756-0 J1195-1 J4482-0 J109-0 J2307-0 J518-1 J3137-0 J4494-0 J3037-0 J2083-0 J2245-0 J2551-0
1145	U1145	J4738 J4554 J3957 J1527	J7094-0 J2327-0 J5916-0 J897-0 J848-0 J2432-0 J1305-0 J7795-0 J6478-0 J3891-0 J3412-0 J5925-0 J2726-0 J3189-0 J2210-0 J6055-0 J4477-0 J5830-0 J6216-0 J5110-0
1146	U1146	J4406 J3083 J2920	J2773-1 J4577-0 J484-0 J4616-0 J7103-0 J4432-0 J5582-1 J6851-0 J2270-0 J7581-0 J5095-0 J2787-0 J4473-1 J8106-0 J6284-0 J1628-0 J5039-0 J3913-0 J1175-0 J2925-0
1147	U1147	J1652 J6542 J4638	J2673-0 J7557-0 J14-0 J7963-0 J1657-0 J5911-0 J5704-0 J1195-1 J2025-0 J7283-0 J1040-0 J6705-1 J5831-0 J494-0 J1954-0 J3783-0 J783-0 J7154-0 J759-0 J5950-0
1148	U1148	J4467 J186 J8228 J7624 J3155 J2760 J2893	J4659-1 J1917-0 J4932-0 J8176-0 J2795-0 J5240-0 J6417-0 J1870-1 J6661-1 J2510-1 J1921-0 J2488-0 J3565-0 J17-0 J7419-0 J5131-0 J7887-1 J2663-0 J1275-0 J3896-1
1149	U1149	J2135 J2775 J2374 J2978 J4145 J7423 J4770 J3293	J7821-1 J5382-0 J2655-0 J3824-0 J4487-0 J6177-0 J258-0 J1992-0 J6732-0 J5112-0 J3378-1 J7150-1 J60-0 J4814-0 J4223-1 J1763-1 J4997-0 J3498-0 J2397-0 J3693-0
1150	U1150	J7400 J1440 J7398	J7376-0 J1567-0 J2271-0 J6573-0 J6282-0 J3976-0 J2258-0 J5871-0 J2339-0 J965-0 J3526-0 J7805-0 J443-0 J1969-1 J1292-0 J1254-1 J4860-0 J3320-0 J6489-0 J5130-0
1151	U1151	J3046 J8132 J5972 J7861 J7523	J7627-0 J3925-1 J6234-0 J256-0 J5148-0 J387-1 J2191-0 J3983-0 J7562-0 J6421-0 J2530-0 J4178-0 J702-1 J7365-0 J5802-0 J6550-0 J4272-0 J5792-0 J4417-0 J6107-1
1152	U1152	J3112 J3686 J114	J5226-0 J3727-1 J2422-1 J4864-1 J5927-1 J3116-0 J3512-0 J5514-0 J4926-0 J6464-1 J2016-0 J3998-1 J523-0 J2323-0 J3682-1 J863-1 J1126-1 J2494-1 J4116-0 J2773-1
1153	U1153	J8234 J6830 J2810 J2920	J5328-0 J2764-0 J4455-0 J164-0 J2172-0 J4076-0 J3826-1 J6190-0 J6896-0 J2479-0 J5470-0 J201-0 J8018-0 J5254-0 J8002-0 J6833-0 J4764-0 J1331-0 J5202-0 J6661-1
1154	U1154	J6588 J4675 J592 J1614	J4056-0 J2882-0 J1276-0 J159-0 J4729-0 J3285-0 J3934-0 J5667-0 J7659-0 J7157-0 J2521-0 J14-0 J7927-0 J2727-0 J1427-0 J5448-0 J8017-0 J140-0 J5793-0 J1350-0
1155	U1155	J2622 J2954 J4562	J7349-0 J8015-0 J6001-1 J2499-0 J4369-0 J1044-0 J3512-0 J7345-0 J7531-0 J7965-0 J6370-0 J935-0 J6061-0 J4031-0 J3089-0 J4803-1 J4182-0 J3316-0 J5915-1 J1307-1
1156	U1156	J923 J8158 J2640	J6300-0 J948-0 J5504-0 J3320-0 J6294-0 J7738-0 J1584-0 J3766-0 J7115-0 J5812-0 J6680-1 J1544-0 J3469-0 J2739-0 J6011-0 J1410-0 J189-0 J3602-0 J2653-0 J3683-0
1157	U1157	J1648 J3785 J6453 J1680 J7220 J5979	J5167-0 J2417-0 J7519-0 J2088-0 J7997-0 J2078-0 J3882-1 J1614-0 J6037-0 J3175-0 J7888-0 J2285-0 J4588-0 J4377-0 J2405-0 J5097-0 J2998-0 J6554-0 J3531-0 J735-0
1158	U1158	J1627 J6766 J62 J6225	J7530-0 J5019-0 J7417-0 J4484-0 J5570-0 J5123-0 J4702-0 J682-0 J7476-0 J7118-0 J6343-0 J6548-0 J4826-0 J7296-1 J6054-0 J1209-0 J7986-1 J3762-0 J2855-0 J2-0
1159	U1159	J5939 J5979 J462 J3684	J1278-0 J1286-1 J5531-0 J4944-0 J3639-0 J1126-1 J3483-0 J2143-0 J3571-0 J3058-1 J7686-0 J7816-0 J7274-0 J4482-0 J2443-1 J4793-0 J5482-0 J7199-1 J2319-1 J5256-0
1160	U1160	J1361 J1368 J3141 J123 J2641	J5362-0 J6570-0 J4080-0 J4905-1 J4624-0 J7172-0 J5743-0 J3475-0 J5731-0 J652-0 J1606-1 J130-0 J5931-0 J7414-0 J1994-0 J6902-1 J3372-0 J5212-0 J7915-0 J2535-1
1161	U1161	J659 J1256 J1351	J7299-0 J6380-0 J7231-0 J3642-0 J5808-0 J6547-0 J898-0 J512-0 J1822-0 J236-0 J3758-0 J4089-0 J2094-0 J6765-0 J5186-0 J7984-0 J4689-0 J7389-0 J1218-0 J5374-1
1162	U1162	J4568 J7656 J7265 J1031 J136 J7637 J2147 J6640 J7677 J4719 J807 J1450	J14-0 J3757-0 J5096-1 J1619-0 J1260-1 J338-0 J3663-0 J6735-0 J5584-0 J8167-0 J4948-1 J275-1 J7536-0 J1800-0 J7371-0 J3831-1 J7518-0 J3845-0 J6686-0 J6296-0
1163	U1163	J2786 J7398 J3547 J3553 J6678 J6217 J2567 J3953 J4994 J6105 J6408	J1746-0 J2434-0 J2806-1 J156-0 J4637-0 J4550-0 J7794-0 J7472-0 J5651-0 J6204-1 J3936-0 J5010-0 J5673-1 J212-1 J6946-0 J6260-0 J5402-0 J6246-0 J2990-0 J5257-0
1164	U1164	J8232 J4097 J7039 J4	J5311-0 J2803-0 J2791-0 J7487-0 J4684-0 J848-0 J2038-0 J2244-0 J3343-1 J1209-0 J6844-0 J5179-0 J4025-1 J3892-0 J4621-1 J594-0 J3851-1 J7658-0 J569-0 J2739-1
1165	U1165	J6209 J6213 J1530 J8228 J1605	J7810-0 J2700-0 J563-0 J268-0 J7167-0 J113-0 J4692-0 J3605-0 J7807-0 J3532-0 J7855-0 J3021-0 J3049-0 J3875-1 J41-0 J6673-0 J7037-1 J2404-0 J5515-0 J804-0
1166	U1166	J4146 J3493 J6386 J4147 J4149 J4508 J1768 J4148	J7811-0 J7078-0 J3086-0 J7846-0 J3828-0 J8091-0 J87-0 J4410-0 J6033-0 J2427-0 J3787-0 J3613-0 J3600-0 J2732-0 J4382-0 J1374-0 J2144-0 J905-0 J1397-0 J2579-0
1167	U1167	J1062 J7986 J2773 J2717 J5498 J7429 J7246	J2744-0 J1957-0 J5301-0 J1949-0 J3226-0 J3960-1 J3302-0 J7232-0 J5897-0 J2518-0 J2605-0 J1043-0 J3444-0 J390-0 J7868-0 J3757-0 J3621-0 J840-0 J5580-0 J3052-0
1168	U1168	J4330 J68 J7341 J2150 J4188 J4747 J5448	J5891-0 J6364-1 J7603-0 J7897-1 J3872-1 J3048-0 J3960-0 J4302-1 J4563-0 J1048-0 J4277-0 J4523-0 J384-0 J6076-0 J1726-0 J8092-0 J7725-0 J6437-0 J5286-0 J6776-0
1169	U1169	J2956 J8254 J4934 J1119 J4744 J128 J1141 J8232 J1077 J4907 J3278	J5893-0 J3732-0 J7392-1 J8093-1 J1678-0 J1352-0 J5760-0 J7-0 J7784-0 J1300-0 J2702-1 J7213-0 J3761-0 J6578-0 J7720-1 J2031-0 J3552-0 J2918-0 J6797-0 J2360-0
1170	U1170	J246 J6122 J2760	J1415-0 J2562-1 J2189-0 J998-0 J1172-0 J5985-0 J38-0 J7487-0 J4850-0 J4187-0 J4235-0 J5628-0 J1817-0 J8126-0 J1293-0 J1777-0 J1067-0 J142-1 J5304-0 J633-0
1172	U1172	J1067 J8071 J3871 J1916	J4204-0 J3811-0 J7232-0 J2229-1 J3786-0 J1448-1 J2216-0 J6059-1 J5183-0 J6591-0 J8254-0 J2657-0 J1513-0 J2403-0 J6941-0 J7015-0 J5014-0 J6197-0 J2693-1 J936-0
1174	U1174	J6680 J7821 J6288 J2460 J7776 J6375 J1447 J5915 J5947	J6047-0 J6006-0 J823-0 J7977-0 J6139-0 J7080-0 J4965-0 J8052-0 J2307-0 J7588-0 J3330-0 J1718-0 J7962-0 J5971-0 J4115-0 J1570-0 J41-0 J1849-0 J5720-0 J6408-0
1175	U1175	J4875 J171 J4301 J7559 J5067	J3232-0 J49-0 J8157-0 J632-0 J5251-0 J275-1 J1821-0 J7206-1 J4701-0 J8181-0 J2896-0 J1974-0 J2003-0 J2956-1 J6313-0 J1730-0 J128-1 J6872-0 J6678-1 J2397-0
1176	U1176	J5159 J269 J6077 J4472 J4480 J136 J6352 J5267 J3814 J7648 J195 J2503	J5194-0 J3164-0 J5362-0 J812-0 J8035-0 J3973-0 J4467-0 J2752-0 J853-1 J3087-0 J979-0 J2096-0 J1675-0 J5465-0 J6711-0 J5425-0 J7663-0 J6412-0 J5222-0 J4830-0
1177	U1177	J7815 J764 J1248	J7104-0 J7792-1 J5108-0 J6310-0 J1505-0 J3622-0 J3195-0 J7588-0 J7261-0 J7460-0 J3400-0 J1495-0 J4006-0 J2540-0 J6184-0 J2895-0 J5193-1 J4257-0 J1521-0 J8181-0
1178	U1178	J4545 J1853 J6954	J1351-0 J3271-0 J2477-0 J2806-1 J1503-0 J4121-0 J6205-1 J7899-0 J5876-0 J2839-1 J6457-0 J7055-0 J3400-0 J3405-0 J3115-0 J6810-0 J4708-0 J7418-1 J6919-0 J3832-0
1179	U1179	J2448 J7581 J7833 J3848 J3726	J2214-0 J2056-0 J3966-0 J2311-0 J4992-0 J2452-0 J6375-1 J4682-0 J1444-0 J2513-0 J7965-0 J6017-0 J115-0 J5663-0 J1588-0 J1850-0 J2907-0 J3583-0 J244-0 J5232-0
1180	U1180	J5276 J4086 J2330 J6675 J7998 J7720	J7765-1 J4354-0 J3748-1 J6112-0 J6142-0 J786-0 J1626-0 J4652-0 J4584-0 J3328-0 J1540-0 J4752-0 J3085-0 J3039-0 J7812-0 J4643-0 J6844-0 J1068-0 J3879-0 J7477-0
1181	U1181	J5915 J1768 J8132 J8230 J2508 J2425	J5544-0 J6091-0 J7786-0 J3398-0 J5304-0 J1141-1 J4701-0 J8049-0 J7585-0 J4449-0 J7912-0 J326-0 J589-0 J7316-0 J6262-0 J6574-0 J5461-0 J6899-0 J3263-0 J1163-1
1182	U1182	J1652 J5435 J3827 J1675 J6122 J4383 J1760 J2761 J7433 J1642 J4562 J5979 J2113 J4818	J4465-0 J3295-0 J5416-0 J3935-0 J3350-0 J5922-0 J105-0 J1831-0 J445-0 J1875-0 J1086-0 J2675-0 J4714-0 J7670-1 J8144-0 J7623-1 J155-0 J3035-1 J1108-0 J298-0
1183	U1183	J3867 J7416 J7844 J4545 J2710 J387	J5775-0 J5127-1 J8234-0 J5120-0 J4023-1 J5510-0 J4939-1 J4793-0 J7755-0 J5713-0 J1627-0 J982-0 J6688-1 J1128-0 J1991-0 J4363-0 J4272-0 J7340-0 J3941-0 J6882-0
1184	U1184	J2568 J6379 J3304	J639-0 J7231-0 J4266-0 J6192-0 J3455-0 J6601-0 J7498-0 J6442-0 J5655-0 J1066-0 J2300-0 J5341-0 J5891-0 J624-0 J736-0 J2450-1 J5556-0 J6721-0 J8131-1 J1571-0
1185	U1185	J8168 J3174 J8032 J630 J3499 J1516 J3407 J8163	J2874-0 J2220-0 J2007-0 J4757-0 J3420-0 J4750-0 J6987-0 J4208-0 J5152-0 J1152-0 J4402-0 J5056-0 J2570-0 J358-0 J222-0 J1375-1 J4184-0 J5802-0 J1396-0 J4665-0
1186	U1186	J1437 J3038 J5590 J2566 J7673 J1819 J3710	J599-1 J2310-0 J2990-0 J4889-0 J3893-0 J7670-0 J3373-0 J6158-0 J167-0 J855-0 J601-1 J894-0 J3202-1 J2792-0 J993-1 J6013-0 J2961-0 J4520-0 J3563-0 J3978-0
1187	U1187	J3382 J1896 J2723 J3010 J3004 J6374 J8206 J3828 J2740	J4855-0 J508-0 J7843-0 J8194-0 J1310-0 J1217-0 J7026-1 J6347-1 J7189-0 J4298-0 J6710-0 J5769-0 J1223-0 J4655-0 J377-0 J6136-0 J5073-0 J6896-0 J524-0 J4449-0
1188	U1188	J142 J7524 J6119 J1393 J6674 J7877	J3920-1 J301-0 J1226-0 J3225-0 J6545-0 J8035-0 J5334-0 J7332-0 J1211-1 J735-1 J4610-1 J7254-1 J1372-0 J5686-1 J1341-0 J8165-0 J3560-0 J1993-0 J2045-0 J3229-0
1189	U1189	J4025 J1648 J6991 J4629 J3083	J7335-0 J2491-1 J2652-0 J2465-0 J7697-0 J5950-0 J5981-1 J8172-0 J5560-0 J8108-0 J3912-0 J5423-0 J2387-0 J7240-0 J6137-0 J2563-0 J2358-0 J6263-0 J4879-0 J7204-0
1190	U1190	J4194 J4902 J2888	J8221-0 J1512-0 J6693-0 J3468-0 J4740-0 J2295-0 J3138-0 J7288-0 J1871-0 J7835-0 J1882-0 J8197-0 J5986-0 J4754-0 J8240-1 J5798-0 J3731-0 J2318-0 J4791-0 J2156-0
1192	U1192	J4939 J2481 J7782	J4337-0 J8130-0 J6652-1 J2178-0 J6840-0 J4857-0 J6586-0 J3005-0 J1967-0 J8130-0 J2213-1 J452-0 J2757-1 J890-0 J6309-0 J3474-0 J2335-0 J93-0 J4959-1 J4513-0
1193	U1193	J8077 J8086 J3595 J4147	J568-0 J4774-0 J5948-0 J7854-1 J7928-1 J469-0 J3169-0 J6956-0 J582-0 J1116-0 J7704-0 J5173-0 J3064-0 J1924-0 J3518-0 J1434-0 J328-0 J5431-0 J12-1 J5186-0
1194	U1194	J4308 J1353 J6610 J2249 J2737 J6608 J6499	J3507-0 J5347-1 J5729-0 J6260-0 J4409-0 J6165-0 J6931-0 J2313-0 J7913-0 J4965-0 J1440-0 J7409-0 J4965-0 J3555-0 J7078-0 J4303-0 J2353-1 J7406-0 J5230-0 J6996-0
1195	U1195	J4150 J4377 J5080	J7509-0 J31-0 J6007-0 J349-0 J4157-0 J4429-0 J6924-0 J4953-0 J2855-0 J2854-0 J7592-0 J1548-0 J6435-0 J2675-0 J7043-0 J8013-0 J6036-0 J506-0 J6077-0 J823-0
