user	Histories	Behaviors
U2411	J7884 J3821 J4108 J3657 J599 J6142	J2078-1 J4818-1 J1579-0 J7592-0 J1320-0 J5812-0 J3407-1 J1562-0 J116-0 J6304-0 J2314-0 J6235-0 J7274-1 J8026-0 J7973-1 J4241-1 J1532-0 J4844-0 J2733-1 J2192-0
U7231	J3013 J5819 J2453	J6797-1 J2136-0 J1819-1 J8097-0 J3164-0 J973-0 J1295-0 J676-0 J173-0 J7808-0 J3054-0 J2347-0 J3356-1 J2298-0 J2615-0 J2744-1 J7675-0 J3703-0 J4084-0 J808-1
U4957	J6200 J2154 J2381 J7808	J7785-0 J2503-0 J1520-0 J2169-1 J2513-0 J1933-0 J2717-0 J7306-0 J6143-0 J899-0 J8007-0 J5716-0 J6591-0 J3344-0 J2027-0 J6209-1 J3490-0 J82-0 J1260-1 J5985-0
U5473	J1031 J3607 J4882 J3688 J5348 J8076 J8094 J7334	J6994-0 J7139-0 J7900-0 J7535-0 J2099-0 J5013-0 J1620-0 J1558-0 J4671-0 J7649-0 J5140-0 J7963-0 J2900-0 J3716-1 J7928-1 J47-0 J1760-0 J4805-0 J2205-0 J7952-0
U1303	J698 J8051 J3066 J8034 J1648 J863	J1845-0 J5808-0 J5377-0 J1439-0 J1078-0 J506-0 J1021-0 J3023-0 J5238-0 J7230-0 J6864-0 J7283-0 J58-0 J99-0 J4438-0 J4363-0 J611-0 J2728-0 J7135-0 J2692-0
U6868	J4261 J4146 J2886 J5939 J4454 J2328 J1942	J5300-0 J7490-1 J3210-0 J2584-0 J117-0 J3325-0 J4867-0 J3253-0 J809-0 J6718-0 J7694-1 J1445-0 J1928-1 J6871-1 J5050-0 J6466-0 J3299-0 J6618-0 J915-0 J210-0
U4383	J4128 J1062 J3106 J2988 J6740 J304	J4517-0 J608-0 J5250-0 J8236-0 J5281-0 J2235-0 J960-0 J3381-0 J6772-0 J2116-0 J830-0 J6219-0 J4791-0 J640-0 J5003-0 J2218-0 J36-0 J7281-0 J547-0 J1232-0
U3281	J3870 J3830 J3082 J2373 J7398 J4336 J6674 J2672	J3584-1 J3275-0 J3177-0 J7520-0 J4106-0 J7264-0 J3219-0 J4139-1 J429-0 J5480-1 J1092-0 J3064-0 J1305-0 J5051-0 J8226-1 J3609-0 J4744-0 J6967-0 J6650-0 J8118-0
U3343	J6667 J1591 J7036 J4023 J7363 J4330	J7906-0 J7419-0 J4544-0 J1102-0 J5057-0 J4616-0 J4992-0 J4937-0 J3318-1 J6207-1 J5095-0 J4455-1 J2928-0 J4643-0 J4920-0 J220-0 J3881-1 J5760-0 J3281-0 J6723-0
U4363	J5490 J2460 J3113 J8140	J7301-0 J2608-1 J615-0 J980-0 J7368-0 J1685-0 J2628-0 J5944-0 J4466-1 J514-0 J4974-0 J3408-0 J5487-1 J1663-0 J6101-0 J4500-0 J2675-0 J4456-0 J3241-0 J7662-0
U1065	J3547 J1032 J1768 J1187	J1497-0 J588-0 J4924-0 J6630-1 J4130-0 J5044-0 J2957-0 J470-0 J3039-0 J5131-0 J7156-0 J1435-0 J52-0 J5064-1 J2260-1 J3157-0 J7390-0 J4586-0 J6486-1 J1224-0
U3065	J1911 J3343 J3871 J2726 J4851 J3923 J2988 J1223 J2349 J6839 J7435	J2862-0 J6254-0 J4048-0 J7776-0 J1958-1 J5639-0 J5018-0 J5840-0 J5392-0 J7602-0 J2915-0 J5646-0 J6832-1 J117-0 J3782-0 J2755-0 J1371-0 J7908-0 J7772-0 J1588-1
U56	J3532 J3002 J1725	J3551-1 J8017-0 J7640-0 J2847-0 J3296-0 J7163-0 J7846-0 J3864-0 J2821-0 J7041-0 J7326-0 J2999-1 J1469-0 J7325-0 J4547-1 J592-0 J5680-0 J1426-0 J2339-0 J4805-0
U226	J4883 J6748 J1855 J6057 J1688 J1692 J4538 J1511 J3907 J7180	J4334-0 J8127-0 J4243-0 J11-1 J6448-0 J6813-0 J8226-0 J8007-0 J5311-0 J1567-0 J5711-0 J3090-0 J3759-0 J1864-0 J5055-0 J6420-0 J2295-0 J1664-0 J1970-1 J1410-0
U8085	J3726 J2363 J1677	J3832-0 J7444-0 J8211-0 J4766-0 J7729-0 J7493-0 J6566-0 J5207-0 J2473-0 J3741-0 J875-0 J7894-0 J352-0 J1501-0 J4816-0 J6527-0 J5202-0 J4648-0 J718-0 J7845-0
U41	J7809 J6363 J1440	J6778-0 J4547-1 J2455-0 J2050-0 J4181-0 J692-0 J5110-0 J7259-0 J5398-1 J627-0 J7816-0 J2888-1 J2601-0 J4773-0 J3161-0 J1884-0 J2545-1 J1230-0 J5649-0 J5585-0
U1281	J1353 J3244 J5081 J5829 J1352 J1351 J4994 J4392 J5080	J5075-0 J2260-0 J6966-0 J5495-0 J6142-0 J2740-0 J953-0 J2793-0 J5439-0 J6498-0 J4232-0 J3946-0 J6606-0 J8202-0 J4356-0 J7073-0 J958-0 J7295-0 J1125-0 J3963-0
U468	J2569 J4593 J7268	J2566-1 J7690-0 J721-0 J6822-0 J6770-0 J4118-0 J2935-0 J6527-0 J7973-1 J7971-0 J6329-0 J5854-0 J6550-0 J663-1 J2024-1 J5021-0 J4713-0 J2878-0 J587-0 J1927-0
U5899	J4146 J3493 J6911 J3201	J5047-0 J1029-0 J158-0 J3393-0 J4467-0 J639-0 J6516-0 J4976-0 J6944-0 J5269-0 J4355-0 J8071-0 J7321-0 J720-0 J4038-0 J855-0 J2297-0 J1309-0 J6704-0 J3165-0
U936	J1645 J7764 J2758	J3326-0 J2088-0 J7704-0 J1562-0 J1515-1 J3688-0 J7502-0 J1446-0 J5914-0 J6860-0 J4826-0 J5052-0 J444-0 J7877-0 J3902-0 J2191-0 J1406-0 J3760-0 J6908-0 J3447-0
U9989	J4331 J6616 J3038 J7877	J3288-0 J5324-0 J3412-1 J3574-0 J1828-0 J8071-1 J6151-1 J6117-0 J1589-0 J2412-0 J7639-0 J3598-1 J1454-0 J7748-0 J3290-1 J5059-0 J4477-0 J8115-0 J7246-1 J4643-0
U1415	J3386 J229 J312 J2818 J2730 J8071 J3106 J85 J7624	J1082-0 J6530-0 J7909-0 J1101-0 J4247-0 J3821-1 J6709-0 J1456-0 J6491-0 J1351-0 J6761-0 J6448-0 J4672-0 J3974-0 J7034-0 J7887-0 J7135-0 J4142-0 J7852-0 J2924-0
U5625	J592 J6623 J6176 J4467	J5085-0 J7138-0 J3936-0 J2061-0 J6788-0 J7780-0 J1326-0 J5025-0 J6265-0 J373-0 J3197-0 J8187-0 J6833-0 J7243-0 J3069-0 J5028-0 J986-0 J5718-0 J3733-0 J1685-0
U7775	J2948 J4377 J4466 J4057	J3217-1 J6485-1 J8098-0 J2669-0 J3412-0 J7037-1 J7568-0 J5873-0 J6918-0 J4485-0 J350-0 J5717-0 J324-0 J3839-0 J2802-0 J6481-1 J1855-1 J5132-0 J2760-0 J6609-0
U5306	J2185 J2517 J2963 J1649	J2750-0 J2619-0 J4640-0 J6766-0 J7633-0 J5145-1 J1099-0 J4398-0 J2673-0 J8258-0 J2228-0 J7388-0 J2491-0 J5568-0 J3532-0 J256-0 J7571-0 J7701-0 J5482-0 J7335-0
U564	J2672 J6680 J1807 J2975 J2982	J5410-0 J1023-1 J1227-0 J1585-0 J254-0 J2843-0 J497-0 J7232-0 J3092-0 J6826-0 J6897-1 J1260-0 J7327-0 J7343-0 J743-0 J5451-1 J7712-0 J3378-0 J4462-0 J1554-0
U5249	J3380 J6003 J489 J2069	J5933-0 J3658-0 J6281-0 J6911-0 J7-0 J2193-0 J668-0 J2951-0 J2204-0 J7596-0 J3742-0 J7928-0 J1771-0 J318-0 J5370-0 J2906-0 J3319-0 J5815-0 J8051-0 J4480-0
U7374	J5192 J1556 J7354	J3459-0 J2924-0 J6548-0 J7245-0 J4676-0 J3194-0 J319-0 J2841-1 J284-0 J1327-0 J6981-0 J5037-0 J1256-0 J2873-0 J3161-0 J376-0 J7479-1 J3915-0 J7294-0 J1715-0
U700	J229 J8233 J1047	J269-0 J1844-0 J4336-1 J394-0 J2534-0 J8214-1 J1902-0 J1036-0 J7698-0 J2177-0 J454-0 J591-0 J5250-0 J234-0 J5335-0 J3900-0 J4924-0 J2136-0 J1304-0 J4307-0
U5000	J2811 J6229 J2048 J5002 J2742 J4188	J224-1 J4712-0 J7971-0 J5634-0 J5150-0 J7112-0 J5611-0 J2957-0 J3957-0 J3045-0 J4265-1 J1833-0 J7126-0 J1378-0 J6232-0 J1988-1 J5784-0 J674-0 J6211-1 J2849-0
U9227	J5578 J1459 J717	J6245-0 J1167-0 J255-0 J505-0 J3468-0 J1824-0 J813-0 J702-0 J4142-0 J7364-0 J4694-0 J1275-0 J5108-0 J5872-0 J6947-0 J6560-0 J4698-0 J627-0 J4190-0 J5258-0
U432	J7584 J7420 J3908	J4624-0 J3909-0 J3364-0 J1889-0 J669-0 J7310-0 J7154-0 J2686-0 J1131-1 J2385-0 J3030-1 J6132-0 J5277-0 J3601-0 J7462-0 J165-0 J2273-0 J7190-1 J4827-0 J2665-0
U8557	J7882 J659 J1438 J7203 J886 J2562 J7292 J2696 J5614 J420 J3318 J382 J2453 J18 J872	J6935-0 J5864-0 J2557-0 J3456-0 J111-0 J2736-1 J2835-1 J6568-0 J4340-1 J5062-1 J6982-0 J1459-1 J68-1 J6893-0 J3476-0 J1954-0 J3643-0 J4467-1 J7181-0 J6203-1
U174	J7840 J5937 J7080 J7228 J1915 J7151 J5582 J5985 J2893 J4402 J150 J2635 J8094 J1677	J8083-0 J4689-0 J1908-0 J8135-0 J4633-0 J3538-0 J2149-0 J7496-0 J5840-0 J2532-1 J7465-0 J6254-0 J3936-0 J2427-0 J5622-0 J726-0 J6211-1 J3680-0 J3841-0 J5053-0
U7307	J4406 J4332 J3894 J2671 J7526 J7094 J4087 J2635 J6118	J3428-0 J108-1 J7708-0 J965-0 J1388-0 J6554-0 J1170-0 J6238-0 J368-0 J3426-1 J2974-1 J5130-0 J2931-1 J6589-0 J6835-0 J5495-0 J4968-0 J2608-1 J7890-1 J5709-0
U2191	J963 J7290 J8091 J4861 J6662 J7292	J7184-0 J2501-0 J762-0 J6739-0 J610-0 J6808-0 J1200-0 J5152-0 J2356-0 J7436-0 J6223-0 J2088-0 J6160-0 J195-0 J1967-0 J6879-0 J335-0 J7585-0 J1184-1 J6577-0
U8661	J6698 J3035 J3653 J5613	J272-0 J5055-0 J2719-0 J6360-0 J4667-0 J675-1 J654-0 J2334-0 J2729-0 J4068-0 J6298-0 J6157-1 J2268-0 J4209-0 J2359-0 J1835-0 J6283-0 J3224-0 J5241-1 J4620-0
U8898	J4301 J3169 J1859	J7455-0 J6751-1 J2142-0 J1464-0 J6678-0 J2835-0 J6965-0 J374-1 J8126-0 J7271-0 J6764-0 J3405-0 J4121-0 J5035-0 J1398-0 J809-0 J1274-0 J7570-0 J1111-1 J163-0
U9906	J1081 J4170 J2704 J2487 J663 J7228	J1963-1 J3582-1 J5649-0 J4666-0 J82-0 J4455-1 J5030-0 J4295-0 J6167-0 J5295-1 J4172-0 J8107-1 J3691-0 J2716-1 J643-0 J1456-0 J1725-1 J7758-0 J7535-0 J4912-0
U6300	J3063 J7853 J2457 J3394 J2563 J7680 J7559 J1458	J7282-0 J355-0 J5207-0 J4913-0 J1078-0 J6004-0 J5287-0 J5539-0 J7901-1 J6649-0 J301-0 J3911-1 J7073-0 J15-1 J7974-0 J826-0 J5738-0 J6550-0 J7460-0 J8161-0
U2272	J675 J4653 J5725 J4321	J6457-0 J2646-0 J2562-1 J7197-1 J2671-0 J5970-0 J4471-0 J5290-0 J4834-0 J2294-0 J6413-0 J7223-0 J175-0 J1660-0 J695-0 J433-0 J7750-0 J441-0 J8166-0 J4753-0
U2737	J4003 J907 J636 J2761 J4390 J7720 J3662 J5375 J7884 J2536	J3911-1 J6122-0 J6081-0 J5413-0 J2461-0 J2588-0 J2603-0 J2974-0 J6600-1 J4837-0 J3652-0 J2933-0 J3637-0 J5605-0 J5092-0 J734-0 J6860-0 J2039-0 J3063-1 J7691-0
U8467	J7197 J1067 J2990 J7199 J4147 J5394 J2769 J4461 J1218 J2731 J3586	J4657-0 J5802-0 J2884-0 J7196-0 J5541-0 J2848-0 J1491-0 J6999-0 J5686-1 J4984-0 J5286-0 J7298-0 J7371-0 J5489-1 J349-0 J2841-1 J4030-0 J1449-1 J1382-0 J6058-0
U1474	J5164 J6876 J6057 J4301 J7442 J1597 J3245	J2908-0 J4450-0 J2861-0 J3672-0 J4832-0 J6015-0 J6952-0 J6590-0 J2328-0 J5581-0 J7153-0 J6561-0 J1867-1 J295-0 J4416-0 J6648-0 J6197-0 J1071-0 J397-0 J1301-0
U9860	J1397 J137 J2248 J4236 J5708 J1448 J7850 J8104	J5554-0 J6234-0 J6429-0 J5487-1 J7054-0 J3578-0 J1900-0 J5732-0 J6050-0 J3375-0 J4651-1 J4591-0 J7376-1 J1287-0 J79-0 J4800-0 J6466-0 J3769-0 J7527-1 J1005-0
U9636	J3698 J4000 J7523 J7408 J4223 J5681 J7688	J4297-0 J2164-0 J1677-1 J2677-1 J8191-0 J7327-0 J2559-0 J1089-0 J3530-0 J6793-0 J1742-0 J6026-1 J135-1 J7397-0 J7781-0 J5750-0 J4286-0 J5864-0 J6199-0 J1219-0
U9885	J1515 J2634 J1242 J6872 J6121	J2906-0 J1291-0 J3731-0 J6035-0 J4697-1 J6600-0 J6241-0 J7790-0 J4067-0 J7015-0 J6081-0 J5474-1 J4085-0 J6257-0 J4992-0 J3048-0 J5301-0 J2389-0 J5224-0 J5974-0
U4922	J7330 J7626 J3831 J987	J339-0 J234-0 J8184-1 J1017-0 J1300-0 J3933-1 J4456-0 J4779-0 J1065-0 J5764-0 J6274-0 J3356-1 J1243-1 J6013-0 J6087-0 J5712-0 J7277-0 J3382-0 J1830-0 J518-1
U5151	J3201 J832 J1868 J3522 J5390 J8197	J5806-0 J6078-0 J2925-0 J6828-0 J6299-0 J2163-0 J7963-0 J7811-0 J2707-0 J5757-0 J7949-0 J6488-0 J4378-0 J5632-0 J803-0 J5986-0 J7556-0 J4261-0 J4729-0 J6176-0
U4208	J3647 J5462 J8077	J2939-0 J5699-0 J7192-1 J4161-1 J852-0 J6470-1 J3967-1 J7661-0 J1161-0 J6912-0 J2445-1 J6292-0 J3276-0 J4234-0 J6405-1 J4896-1 J3118-0 J3638-0 J5709-0 J6902-0
U5444	J1326 J418 J419	J836-0 J4386-0 J1103-0 J2771-0 J6607-0 J4473-0 J5-0 J1724-0 J6049-0 J7130-0 J6307-0 J6337-0 J7977-0 J1490-0 J6158-0 J151-0 J7248-0 J4210-0 J1203-0 J819-0
U6367	J1353 J1351 J4994 J1352 J3244	J6021-0 J7327-0 J3746-0 J1588-0 J8006-0 J5917-0 J4824-0 J6891-0 J376-0 J580-0 J4577-0 J7643-0 J2454-0 J2510-0 J4490-0 J820-0 J6922-0 J4127-0 J5335-0 J87-0
U7401	J8168 J7193 J6161 J1473 J2635	J5557-0 J3480-0 J6666-0 J5977-0 J6987-0 J2890-0 J3825-0 J636-0 J7913-0 J3762-0 J2897-0 J687-0 J2416-0 J5106-0 J1544-0 J5748-0 J5895-0 J5222-0 J6142-1 J6569-0
U5305	J7356 J4332 J2697	J6775-0 J4841-0 J3340-0 J6320-0 J4936-0 J5504-0 J7281-0 J3470-0 J110-0 J3839-1 J1632-0 J5828-0 J4065-0 J6919-0 J4320-0 J1375-1 J78-0 J168-0 J2824-0 J8194-0
U1446	J3493 J4148 J2287 J4447 J3453 J5686 J3201 J2741 J7699 J4522	J6298-0 J2516-0 J4493-0 J1533-0 J2188-0 J1535-0 J5844-0 J3827-0 J2105-0 J2004-0 J7552-0 J593-0 J4327-0 J3599-0 J5449-0 J1796-0 J3796-0 J1992-0 J3622-0 J5531-0
U3808	J1694 J7416 J2671 J2373 J3831 J6797 J4607 J2699 J2460 J7197	J7703-0 J7829-0 J2192-0 J7178-0 J3423-0 J3859-0 J3794-0 J970-0 J7409-0 J5651-0 J6492-0 J7357-0 J4133-0 J8061-0 J7137-0 J667-0 J5116-0 J5897-0 J7402-0 J3969-0
U4438	J552 J7187 J2920 J6347 J663 J7013	J561-0 J7880-0 J3986-0 J6959-0 J4243-0 J7872-0 J6621-0 J6586-0 J3228-0 J7443-0 J3838-0 J716-0 J1268-0 J3744-0 J6767-0 J977-0 J8074-0 J8196-0 J437-0 J1477-0
U6672	J1612 J6162 J8163 J1582 J6043 J4847	J2833-0 J4510-1 J119-1 J4960-1 J107-1 J1274-0 J5441-0 J2536-0 J3265-0 J1812-0 J618-0 J3493-1 J8177-1 J204-0 J6555-0 J5741-0 J18-1 J668-0 J1289-0 J5899-1
U4708	J616 J4847 J2596 J7447 J7036	J5747-0 J1589-0 J1249-0 J4878-1 J2212-0 J3620-0 J7277-0 J423-0 J952-1 J874-0 J4682-0 J1179-0 J4484-0 J3839-1 J4801-1 J6815-0 J505-0 J380-0 J7608-0 J1073-1
U9257	J8233 J8243 J3307 J1581 J6902	J7860-1 J346-0 J607-0 J7429-0 J7337-0 J619-0 J7227-0 J652-0 J96-0 J531-0 J618-0 J6170-0 J7916-0 J4915-0 J4880-1 J8186-0 J6413-0 J6457-0 J2599-0 J650-0
U5632	J6150 J237 J3083 J450	J3751-0 J2867-0 J5067-1 J7325-0 J4059-0 J5170-0 J1424-0 J3727-1 J973-0 J1680-0 J4602-1 J3506-0 J4173-0 J4502-0 J2198-0 J5053-0 J8257-0 J1807-1 J7792-1 J5910-0
U3484	J3376 J3481 J3521 J4196 J7088 J7782	J1116-0 J748-0 J5713-0 J5278-0 J2226-0 J6267-1 J1447-1 J5725-0 J7392-0 J5111-1 J5397-0 J729-1 J5364-0 J2206-0 J5744-0 J6092-0 J4061-0 J660-0 J6728-0 J1823-0
U1019	J1424 J3710 J7002 J2641 J1460 J7764 J7557 J7458 J6998	J5148-0 J1181-0 J7168-0 J5238-0 J5152-0 J308-0 J4086-0 J6266-0 J6486-0 J2107-0 J7340-0 J5671-0 J4389-0 J160-1 J4082-0 J6399-0 J3295-0 J3174-0 J438-0 J4444-0
U3981	J886 J816 J6171 J4374 J7258 J1852 J5448 J287 J392 J2590	J3135-0 J1432-0 J5704-0 J4755-0 J1579-0 J3000-0 J6016-0 J665-0 J6505-1 J6646-1 J790-0 J6718-0 J5454-0 J2305-0 J1980-0 J845-0 J465-0 J1437-1 J6390-1 J6839-1
U8381	J3688 J1988 J1668	J2567-1 J7570-0 J969-0 J8021-0 J752-0 J314-1 J3507-0 J4091-0 J6703-0 J2468-0 J3664-0 J1059-0 J4492-0 J3283-0 J2637-0 J1-0 J2985-0 J7284-0 J2432-0 J520-1
U4254	J2185 J6030 J136	J3304-1 J7710-0 J3522-0 J4785-0 J6773-0 J5968-0 J4090-0 J7615-0 J7496-0 J1369-0 J6367-0 J6581-0 J837-0 J2579-0 J4417-0 J5557-0 J6966-0 J17-0 J2522-0 J5994-0
U274	J7572 J1142 J4543	J3741-0 J6864-0 J7082-0 J4583-0 J7406-0 J8223-0 J5161-0 J1774-0 J987-1 J4484-1 J5504-0 J650-0 J7720-1 J959-0 J4166-0 J4497-0 J3288-0 J7298-0 J2146-0 J2684-0
U6621	J924 J7037 J4594	J7275-0 J3748-1 J4939-1 J251-0 J1636-0 J3679-0 J1255-1 J7170-0 J6647-0 J1971-0 J339-0 J7406-0 J8090-0 J333-1 J7201-0 J1266-0 J7515-1 J4426-0 J7082-0 J2276-0
U5206	J2186 J56 J1053 J2528	J741-0 J502-0 J6511-0 J6115-0 J504-0 J2220-0 J4526-0 J6393-0 J675-1 J752-0 J6275-0 J1383-0 J8249-0 J5992-0 J2822-0 J3888-0 J2482-0 J6639-0 J2386-0 J3092-0
U5524	J4921 J1853 J64 J2711	J2685-1 J2012-0 J8223-0 J2470-1 J7663-0 J6370-0 J5987-0 J5389-0 J1605-1 J2044-0 J7049-1 J7907-0 J2975-1 J1019-0 J548-0 J3362-0 J6801-0 J3654-0 J5541-0 J4553-0
U2481	J7852 J192 J6204 J7013 J8177 J2545 J2658 J663 J6200 J2983	J5870-0 J244-0 J2773-0 J7872-0 J7046-0 J1999-1 J1630-0 J6600-0 J4406-0 J571-0 J3470-0 J2379-1 J794-0 J3-1 J5396-0 J7963-0 J7388-0 J7683-0 J407-0 J3728-0
U6565	J249 J7227 J137	J7329-0 J6824-0 J6096-1 J5470-1 J5177-1 J2302-0 J3370-0 J3251-0 J7605-0 J7533-0 J2250-0 J416-1 J7184-1 J7798-0 J2183-0 J6653-0 J218-0 J6336-0 J4607-0 J4782-0
U3121	J2443 J6368 J7041 J729 J3307	J2285-0 J6192-0 J4420-0 J2384-1 J2654-0 J5781-0 J4172-0 J6924-0 J5488-0 J7699-0 J3932-0 J742-0 J1584-0 J5039-0 J4464-0 J7249-0 J1038-0 J1335-0 J6937-0 J3110-1
U4523	J3035 J6152 J212 J2105	J5130-0 J8149-0 J3138-0 J606-0 J3517-0 J3441-0 J2091-0 J3827-0 J4390-1 J1547-1 J5868-0 J4599-0 J4192-1 J3733-0 J786-0 J6561-1 J3050-0 J4635-0 J7231-0 J449-0
U7803	J3103 J2172 J8231 J6153 J2975 J2920	J4631-0 J6420-0 J1531-0 J6597-0 J6132-0 J3907-0 J594-0 J6874-0 J716-0 J6988-0 J2022-0 J5047-0 J1002-1 J4801-0 J2714-0 J7279-0 J1051-0 J705-1 J813-1 J2207-0
U4913	J3918 J3587 J3749	J6592-0 J6968-0 J2093-0 J6336-0 J4739-0 J5579-0 J7676-0 J6547-0 J2361-0 J5265-1 J1058-1 J8078-0 J3862-0 J43-0 J4960-1 J4187-0 J4966-0 J5205-0 J3943-0 J7946-0
U5647	J7292 J1515 J4547	J2793-0 J7820-0 J3677-0 J155-0 J3606-0 J2111-0 J6034-0 J3389-0 J4063-0 J1739-1 J5979-0 J1884-0 J5209-0 J6186-0 J5613-1 J5549-0 J6832-0 J6125-0 J646-0 J7366-0
U6504	J7510 J3521 J3382 J2974 J863 J2635	J3740-0 J4105-0 J1834-0 J6076-0 J1951-0 J6854-0 J4962-0 J7982-0 J7216-0 J55-0 J1980-0 J6438-0 J3828-0 J8051-1 J7581-0 J503-0 J4700-0 J5373-0 J4548-0 J5603-0
U3568	J783 J1326 J2560 J782	J3105-0 J1398-0 J2691-0 J1437-0 J1179-0 J7081-0 J4774-0 J5956-0 J7870-0 J297-0 J1399-0 J7176-0 J7509-0 J2216-0 J7305-0 J2313-0 J6859-0 J5889-0 J7106-0 J2442-0
U921	J1085 J2941 J2535 J1912	J6959-0 J5511-0 J23-0 J7571-0 J1000-0 J1549-0 J1285-0 J4965-0 J7204-0 J1626-0 J63-0 J6367-0 J3508-0 J2920-1 J4800-0 J7945-0 J3153-0 J7796-0 J7452-0 J4658-0
U7377	J6612 J5972 J7234 J3168 J6887 J5096	J2348-1 J3351-0 J7629-0 J7376-0 J4364-0 J5490-0 J1903-0 J3288-0 J5920-0 J2711-0 J2360-0 J5958-1 J6996-0 J402-0 J4756-0 J6439-0 J5087-0 J3948-0 J4634-1 J2220-1
U9875	J2427 J2570 J6206 J1916	J872-1 J671-0 J490-0 J4482-0 J1709-0 J4231-0 J6191-0 J4761-1 J3515-0 J817-1 J5538-0 J3292-0 J501-0 J8143-0 J758-0 J3312-0 J3389-0 J1789-0 J2257-0 J159-0
U4682	J6912 J1605 J4384 J2028 J5390 J2712 J2133	J8224-0 J3212-0 J4837-0 J7907-0 J4617-0 J979-0 J98-0 J4736-0 J3383-0 J2995-0 J4709-0 J2706-0 J5594-0 J7393-0 J1482-0 J793-0 J5016-0 J4956-0 J1076-0 J6414-0
U4935	J2133 J7765 J1261 J2511	J2826-0 J3179-0 J7034-0 J1-0 J2912-0 J6972-0 J3731-0 J3701-0 J5479-1 J3959-0 J2171-0 J6717-0 J3698-1 J5427-0 J5528-0 J3985-0 J7785-0 J454-1 J4002-1 J7813-1
U3299	J3106 J4317 J3369 J3830	J189-0 J5286-0 J1549-0 J7302-1 J8051-0 J6416-1 J5549-0 J6326-0 J7419-0 J6440-0 J6983-0 J7657-0 J5693-0 J3996-1 J7278-1 J2161-0 J4852-1 J7056-1 J7010-1 J6390-0
U2132	J2692 J7883 J4330 J6485 J5448 J1608 J1148 J1714 J6422 J2376 J3765	J666-0 J5785-0 J8241-0 J2323-0 J372-0 J690-0 J2911-0 J3211-0 J5706-0 J6982-0 J1953-0 J6311-0 J5044-0 J699-0 J968-0 J6658-0 J7591-0 J3636-0 J5706-0 J2399-0
U8700	J4486 J6646 J5359 J3882 J4568 J2518 J1443 J7801	J159-1 J69-0 J3268-0 J6495-0 J8074-0 J2487-0 J3385-0 J7810-0 J2584-0 J3921-0 J4050-0 J1097-0 J2519-0 J6046-0 J5846-0 J2218-0 J2371-0 J3657-0 J11-0 J5325-0
U2324	J2451 J552 J7182 J3134	J6536-0 J6353-0 J5549-0 J4203-0 J1454-0 J1878-0 J5991-0 J4355-0 J3986-0 J5927-1 J7358-0 J6603-0 J5019-0 J5948-0 J7990-0 J1832-0 J6433-0 J6071-0 J7451-0 J745-1
U4327	J2677 J1997 J1630	J1116-0 J3540-0 J6180-0 J2266-0 J1303-0 J4781-0 J1849-0 J424-0 J3253-1 J344-0 J3270-0 J5540-0 J2790-0 J256-0 J4412-1 J3533-0 J54-0 J524-0 J5898-0 J3929-0
U7393	J2920 J3547 J2751	J6319-0 J3608-1 J1202-0 J3529-0 J1360-0 J1288-0 J6657-0 J6591-0 J3283-1 J4993-0 J3565-0 J1644-0 J4005-1 J4855-1 J7761-0 J2090-0 J6130-0 J6560-0 J619-0 J572-0
U8887	J5498 J6944 J7296 J592	J5525-0 J1704-0 J6335-0 J7111-0 J5049-0 J3341-0 J4853-0 J4646-0 J2050-0 J7561-0 J6849-0 J2976-0 J5360-0 J7068-0 J5734-0 J4171-0 J1626-0 J4337-0 J8000-0 J1725-0
U6360	J4538 J7623 J4206 J2175 J7442 J6506 J5961 J1187 J4132	J3673-0 J3254-0 J7871-0 J857-1 J5249-0 J890-0 J5154-0 J1065-0 J3527-0 J4418-0 J3498-0 J5396-0 J6132-0 J1707-0 J834-0 J7985-0 J1714-1 J8128-1 J433-0 J3805-0
U9242	J5114 J3595 J5200 J5391 J5002 J6159 J2954 J3908	J3386-1 J5577-0 J887-0 J5966-0 J1736-0 J5187-0 J2969-0 J4625-0 J5202-0 J3454-0 J5390-0 J7072-0 J4699-0 J7785-0 J6084-0 J3529-0 J1854-0 J6947-0 J7948-0 J3118-0
U3860	J2518 J1490 J3894 J8233 J2635 J3083	J8105-1 J473-0 J7748-0 J4775-0 J3235-1 J167-0 J7337-0 J1095-0 J8223-0 J4201-0 J5585-0 J7287-0 J710-1 J3174-1 J4161-1 J7855-1 J1900-0 J3295-0 J2586-0 J5940-1
U7434	J4890 J3255 J1324	J5518-0 J4059-0 J5880-0 J4629-0 J5717-0 J7948-0 J1782-0 J5242-0 J69-0 J3510-0 J1005-0 J1803-0 J3396-0 J4246-0 J73-0 J6224-0 J8181-0 J1596-0 J4134-0 J4127-0
U2259	J6674 J2517 J5616 J7850 J5979	J998-0 J6219-0 J1723-0 J4175-0 J7029-0 J1011-1 J4101-0 J4807-0 J874-0 J6409-0 J7914-1 J6403-0 J6937-0 J238-0 J6689-0 J5026-0 J3737-0 J5620-1 J2938-0 J4279-0
U9814	J4332 J1720 J5489 J3929 J7062 J5920 J3869 J7852	J2798-0 J3618-0 J7920-0 J4324-1 J1984-0 J3290-1 J1880-0 J132-0 J229-1 J5621-0 J7370-0 J4480-0 J5657-0 J4148-0 J7657-0 J5979-0 J520-1 J7643-0 J3195-0 J2776-0
